Feature Set,R² (Regression),MAE (Regression),Accuracy (Classification),AUC (Classification),Num Features
Baseline (Rubric + Metadata),-0.6337730862509348,18.990431919767936,0.3333333333333333,0.35,5
Full (Baseline + LLM),-3.8609304471544377,32.681102942452625,0.3333333333333333,0.35,12
LLM Only,-1.3398014556689501,21.87781432294796,0.5,0.0,7
