session_idx,action
0,clarity
1,clarity
2,active_listening
3,call_to_action
4,friendliness
5,active_listening
6,friendliness
7,clarity
8,call_to_action
9,active_listening
10,call_to_action
11,friendliness
12,clarity
13,active_listening
14,call_to_action
15,friendliness
16,clarity
17,active_listening
18,call_to_action
